1,Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
4,Nope,Horror,Mystery,Sci-Fi
5,Bodies Bodies Bodies,Comedy,Horror,Thriller
6,Last Night in Soho,Drama,Horror,Mystery
7,The Munsters,Comedy,Family,Fantasy
9,Orphan: First Kill,Crime,Drama,Horror
10,Resident Evil: Welcome to Raccoon City,Action,Horror,Sci-Fi
11,Crimes of the Future,Drama,Horror,Sci-Fi
12,Men,Drama,Fantasy,Horror
13,Morbius,Action,Adventure,Horror
14,Day Shift,Action,Comedy,Fantasy
15,Malnazidos,Action,Adventure,Fantasy
16,Watcher,Drama,Horror,Thriller
17,Orphan,Horror,Mystery,Thriller
18,Midsommar,Drama,Horror,Mystery
20,American Psycho,Crime,Drama,Horror
21,Old,Drama,Horror,Mystery
22,Scream,Horror,Mystery,Thriller
23,Mad God,Animation,Fantasy,Horror
25,Srpski film,Horror,Mystery,Thriller
26,Get Out,Horror,Mystery,Thriller
27,Hellboy,Action,Adventure,Fantasy
28,The Mist,Horror,Sci-Fi,Thriller
29,Overlord,Action,Horror,Sci-Fi
30,Fresh,Comedy,Horror,Thriller
31,Hocus Pocus 2,Comedy,Family,Fantasy
32,Hereditary,Drama,Horror,Mystery
33,Spree,Action,Comedy,Crime
34,The Mortal Instruments: City of Bones,Action,Adventure,Fantasy
35,Resident Evil,Action,Horror,Sci-Fi
37,Prey,Action,Drama,Horror
39,It Chapter Two,Drama,Fantasy,Horror
41,The Conjuring,Horror,Mystery,Thriller
42,Scream 6,Horror,Mystery,Thriller
43,Us,Horror,Mystery,Thriller
44,Fear Street: 1994,Drama,Horror,Mystery
45,Alien: Covenant,Horror,Sci-Fi,Thriller
46,The Thing,Horror,Mystery,Sci-Fi
47,The VVitch: A New-England Folktale,Drama,Fantasy,Horror
48,Annihilation,Adventure,Drama,Horror
49,The Deadly Mantis,Family,Horror,Sci-Fi
2,Fear Street: 1978,Drama,Horror,Mystery
3,The Shallows,Action,Drama,Horror
4,Beast,Adventure,Drama,Horror
5,Sinister,Horror,Mystery,Thriller
6,The Cabin in the Woods,Horror,Mystery,Thriller
7,A Quiet Place Part II,Drama,Horror,Sci-Fi
9,Hocus Pocus,Comedy,Family,Fantasy
11,The Meg,Action,Horror,Sci-Fi
13,The Mummy,Action,Adventure,Fantasy
14,Sweeney Todd: The Demon Barber of Fleet Street,Drama,Horror,Musical
16,Mother!,Drama,Horror,Mystery
17,Underwater,Action,Horror,Sci-Fi
19,A Quiet Place,Drama,Horror,Sci-Fi
22,Predator,Action,Adventure,Horror
23,The Hunt,Action,Horror,Thriller
24,The Lighthouse,Drama,Fantasy,Horror
25,Lamb,Drama,Fantasy,Horror
27,Firestarter,Drama,Horror,Sci-Fi
28,Interview with the Vampire: The Vampire Chronicles,Drama,Fantasy,Horror
30,Resurrection,Crime,Drama,Horror
